lat,lon,to.work,
12.99229529,77.68634588,2,
13.03597181,77.57933704,2,
12.98889766,77.68983006,3,
13.06573169,77.44192506,2,
12.98674406,77.69194365,2,
13.03597181,77.57933704,3,
13.01257254,77.67579314,2,
12.94692433,77.67214079,1,
13.08696189,77.58698155,2,
13.01257254,77.67579314,1,
13.00401488,77.57788007,2,id
13.01307117,77.65643778,1,
13.03374264,77.63289893,1,
12.97465103,77.51394834,4,
12.9540405,77.71822929,6,
13.0444465,77.54857488,6,
13.00049197,77.58125424,1,
12.92535244,77.5751331,3,
13.02086493,77.7038312,3,
13.10310057,77.57398387,3,
13.02477395,77.64866821,2,
12.98209703,77.66574115,3,
13.03149015,77.63427347,1,
13.06136514,77.64984543,1,
12.99104718,77.53384232,2,
13.0444465,77.54857488,3,
13.00257405,77.76157379,4,
13.03962852,77.49555191,2,
12.92964588,77.67629584,4,
12.97767482,77.63457111,2,
12.95852869,77.69524595,1,
12.95852869,77.69524595,1,
12.97230246,77.54168679,2,
12.97428493,77.74907596,4,
13.06281076,77.58125422,2,
12.97642845,77.54373596,2,
13.000112,77.55923713,1,
12.96502663,77.5259211,3,
12.93143945,77.56900178,3,
12.88184511,77.58391047,4,
13.03604323,77.5970149,2,
13.10305632,77.59473679,2,
13.0444465,77.54857488,2,
13.06481963,77.60477858,1,
12.96363115,77.67977674,2,
12.98585305,77.617517,3,
13.04178045,77.62667477,1,
13.03997059,77.56596292,1,
13.05540693,77.59117157,2,
13.02191976,77.59640913,2,
12.90989476,77.60810852,4,
12.92964588,77.67629584,3,
12.98392476,77.67514967,2,
13.03954407,77.5930256,1,
12.89150191,77.56173448,3,
13.04033457,77.62199709,2,
13.05535243,77.59927204,1,
13.06481963,77.60477858,1,
13.01257254,77.67579314,2,
13.0555044,77.60880589,1,
12.96033301,77.51819902,3,
13.05544169,77.60138154,1,
13.0709225,77.63061946,1,
13.13067667,77.5744525,1,
13.10310057,77.57398387,2,
12.98479927,77.48827544,3,
13.02483173,77.57970705,2,
13.03630872,77.63111919,2,
12.96271482,77.63570305,3,
12.97586078,77.67748922,2,
13.02191976,77.59640913,2,
13.06481963,77.60477858,3,
12.96028245,77.71174156,3,
13.06281076,77.58125422,2,
12.91482074,77.65227938,5,
13.1059769,77.6307787,2,
12.98273747,77.50444432,2,
13.06481963,77.60477858,1,
12.9262271,77.55483796,3,
13.02634975,77.68542244,2,
13.0506365,77.55887034,2,
13.04033457,77.62199709,1,
13.03368517,77.60854036,1,
13.07144599,77.55379561,4,
12.99612186,77.6586847,1,
13.01257254,77.67579314,1,
12.92373213,77.54258097,4,
12.92964588,77.67629584,3,
13.03432799,77.57875443,1,
13.04039659,77.6133399,1,
13.10747357,77.57209986,3,
13.03826957,77.61392977,1,
13.02477395,77.64866821,1,
12.99473111,77.53855884,2,
13.04033457,77.62199709,1,
13.07415565,77.56704855,1,
12.85833276,77.59899998,1,
12.95925288,77.56614984,5,
12.91296192,77.60168985,4,
12.91296192,77.60168985,4,
12.99698918,77.54786611,5,
13.0444465,77.54857488,4,
13.04940517,77.56879081,1,
13.00141738,77.66162592,1,
12.97060792,77.64391141,1,
13.00141738,77.66162592,1,
13.0444465,77.54857488,3,
13.11552986,77.61080682,2,
13.06481963,77.60477858,1,
12.93992465,77.54203277,5,
13.03795665,77.61742377,1,
12.96816205,77.71884191,5,
13.03374264,77.63289893,1,
13.04033457,77.62199709,1,
12.95588559,77.73908327,4,
12.91825898,77.48051066,3,
13.02737651,77.65974779,1,
13.05789343,77.62459987,1,
12.92760686,77.61390209,6,
13.02205656,77.51826257,2,
12.90663147,77.6220606,4,
13.06481963,77.60477858,1,
13.01318087,77.70075126,2,
13.03432971,77.52734551,2,
13.01307117,77.65643778,1,
13.08696189,77.58698155,1,
12.919344,77.51653722,3,
13.02477395,77.64866821,1,
13.04121487,77.57431974,2,
13.05441335,77.59634952,2,
13.00602648,77.6730904,3,
12.95996799,77.57889639,2,
12.97543725,77.68263537,4,
13.06281076,77.58125422,2,
12.95159728,77.69164612,3,
13.03823821,77.59826672,1,
13.04033457,77.62199709,1,
13.02191976,77.59640913,2,
12.98238376,77.60870247,1,
13.02477395,77.64866821,2,
13.06281076,77.58125422,1,
